 00Z 29 Sep 2017   0.00  14.57
 12Z 29 Sep 2017   0.00  17.13
 00Z 30 Sep 2017   0.00  20.75
 12Z 30 Sep 2017   0.00  24.56
 00Z 01 Oct 2017   0.00  26.73
 12Z 01 Oct 2017   0.00  32.39
 00Z 02 Oct 2017   63.84  30.39
 12Z 02 Oct 2017   0.00  35.70
 00Z 04 Oct 2017   0.00  27.25
 12Z 04 Oct 2017   0.00  24.82
 00Z 05 Oct 2017   0.00  26.20
 12Z 05 Oct 2017   0.00  41.61
 00Z 06 Oct 2017   0.00  40.23
 12Z 06 Oct 2017   0.00  40.31
 00Z 07 Oct 2017   0.00  38.35
 12Z 07 Oct 2017   15.22  7.92
 00Z 08 Oct 2017   0.00  14.64
 12Z 08 Oct 2017   0.00  15.94
 00Z 09 Oct 2017   0.00  19.87
 12Z 09 Oct 2017   0.00  20.41
 00Z 10 Oct 2017   0.00  20.73
 12Z 10 Oct 2017   0.00  23.97
 00Z 11 Oct 2017   0.00  16.25
 12Z 11 Oct 2017   0.00  6.59
 00Z 12 Oct 2017   0.00  8.12
 12Z 12 Oct 2017   0.00  14.27
 00Z 13 Oct 2017   0.00  17.12
 12Z 13 Oct 2017   0.00  32.54
 00Z 14 Oct 2017   0.00  23.70
 12Z 14 Oct 2017   0.00  33.33
 00Z 15 Oct 2017   0.00  25.57
 12Z 15 Oct 2017   0.00  7.30
 00Z 16 Oct 2017   0.00  9.60
 12Z 16 Oct 2017   0.00  9.08
 00Z 17 Oct 2017   0.00  10.48
 12Z 17 Oct 2017   0.00  12.65
 00Z 18 Oct 2017   0.00  11.94
 12Z 18 Oct 2017   0.00  12.35
 00Z 19 Oct 2017   0.00  12.78
 12Z 19 Oct 2017   0.00  11.85
 00Z 20 Oct 2017   0.00  13.63
 12Z 20 Oct 2017   0.00  14.83
 00Z 21 Oct 2017   72.12  32.49
 12Z 21 Oct 2017   389.19  29.19
 00Z 22 Oct 2017   0.00  21.95
 12Z 22 Oct 2017   0.00  7.68
 00Z 23 Oct 2017   0.00  8.64
 12Z 23 Oct 2017   0.00  16.26
 00Z 24 Oct 2017   0.00  10.37
 12Z 24 Oct 2017   0.00  4.15
 00Z 25 Oct 2017   0.00  6.46
 12Z 25 Oct 2017   0.00  16.37
 00Z 26 Oct 2017   0.00  9.17
 12Z 26 Oct 2017   0.00  9.83
 00Z 27 Oct 2017   0.00  12.42
 12Z 27 Oct 2017   1.66  8.10
 00Z 28 Oct 2017   0.00  6.38
 12Z 28 Oct 2017   0.00  3.36
 00Z 29 Oct 2017   0.00  5.01
 12Z 29 Oct 2017   0.00  14.77
 00Z 30 Oct 2017   0.00  19.24
 12Z 30 Oct 2017   0.00  7.56
 00Z 31 Oct 2017   1.01  6.30
 12Z 31 Oct 2017   0.00  4.16
 00Z 01 Nov 2017   0.00  9.37
 12Z 01 Nov 2017   0.00  15.11
 00Z 02 Nov 2017   0.00  14.65
 12Z 02 Nov 2017   0.00  18.02
 00Z 03 Nov 2017   0.00  13.54
 12Z 03 Nov 2017   0.00  14.69
 00Z 04 Nov 2017   0.00  18.98
 12Z 04 Nov 2017   0.00  15.80
 00Z 05 Nov 2017   0.00  14.07
 12Z 05 Nov 2017   0.00  17.41
 00Z 06 Nov 2017   0.00  10.52
 12Z 06 Nov 2017   0.00  10.26
 00Z 07 Nov 2017   0.00  9.47
 12Z 07 Nov 2017   0.00  12.82
 00Z 08 Nov 2017   0.00  9.09
 12Z 08 Nov 2017   0.00  6.63
